step	#1-F2/Amplitude	#1-F2/Position	#1-F2/Width	#2-F2/Amplitude	#2-F2/Position	#2-F2/Width	#3-F2/Amplitude	#3-F2/Position	#3-F2/Width	#4-F2/Amplitude	#4-F2/Position	#4-F2/Width	#5-F2/Amplitude	#5-F2/Position	#5-F2/Width	#6-F2/Amplitude	#6-F2/Position	#6-F2/Width	#7-F2/Amplitude	#7-F2/Position	#7-F2/Width	#8-F2/Amplitude	#8-F2/Position	#8-F2/Width	#9-F2/Amplitude	#9-F2/Position	#9-F2/Width	#10-F2/Amplitude	#10-F2/Position	#10-F2/Width	
15	41.32020616	5082.924239	110.8907793	82.5344766	3615.76507	384.9608528	85.49988854	2951.001601	590.7583909	267.5513347	751.537817	404.8874519	145.8407614	-1212.502997	228.9049696	55.61113306	-1447.655386	232.581042	37.81549763	-680.0025518	154.2463314	17.2205517	4413.914986	171.7034737	20.65838182	1180.579084	191.2311431	27.39908776	318.5886664	245.057905	
16	38.40796815	5084.13259	121.2163901	83.97759499	3616.015547	379.9054559	85.74284004	2945.203672	585.5690818	266.1195792	753.5545479	391.9667291	144.5197147	-1211.305492	226.9356176	55.84762229	-1442.809525	227.0299783	38.12014023	-681.2198246	142.6555795	19.6615437	4412.674549	154.4084506	22.12575878	1174.079572	215.4571092	27.02282578	332.4255701	394.0587887	
17	39.13424956	5085.594475	116.1897712	81.19070421	3618.997471	380.1949198	85.45041494	2953.45044	603.9592686	266.973708	754.6416397	399.5767325	147.2430902	-1214.067786	228.8714002	53.78911635	-1448.810626	225.5663898	36.25482524	-678.9899613	159.9810405	18.50707628	4401.584396	153.9707367	20.38127124	1183.831897	192.22293	28.20401974	328.1801467	312.7963008	
18	38.82440613	5085.988368	116.7546546	81.94364906	3618.41462	389.6558374	85.47453618	2949.782982	591.4040966	268.0579387	753.6359288	397.2284401	142.9087612	-1210.77587	222.2337216	56.37439713	-1442.184837	246.954869	37.98060053	-681.2717751	152.1378094	17.71381035	4415.472641	163.1924862	20.68765033	1184.081909	190.0232082	29.80692196	329.0895686	299.0265668	
19	39.47421995	5085.51238	115.8904426	83.72686508	3618.995214	381.950988	85.77323212	2951.712169	589.7062001	266.9392574	752.8462921	406.5272622	144.3845544	-1211.365628	230.2543447	53.44475776	-1444.08922	236.3283834	38.96857033	-683.1550832	144.4526054	18.40850364	4409.320541	172.1061989	19.89411143	1189.793047	182.1858993	27.39167903	325.3416303	264.7958135	
20	40.36358336	5084.826514	114.581438	83.46369808	3616.969939	379.2300405	85.14000977	2948.36049	589.9406947	265.9154976	752.8648224	401.9119839	145.9150357	-1214.395851	233.195434	53.3300295	-1450.037858	223.5751483	35.28295031	-684.4677574	157.7296268	17.91753073	4412.483545	165.1268582	18.39228855	1176.64826	245.4182523	24.67028835	317.0024284	334.069093	
21	41.48402607	5086.207712	104.0668104	83.38914432	3616.518822	390.3774904	85.31925043	2945.167605	582.7955894	265.7954034	752.456189	405.1744567	145.742628	-1213.086218	227.3028821	53.54631638	-1446.930269	240.8541407	36.07498144	-685.3919604	152.561551	19.21587888	4410.257143	160.420223	19.98218415	1187.235598	186.6309537	27.11837158	323.7051351	289.0674372	
22	40.58635623	5088.024387	110.3319576	84.70053666	3614.379085	383.3448866	85.66194346	2947.864037	570.737787	267.3658596	752.3307036	407.8783507	142.8422469	-1210.650762	217.0646581	57.23976299	-1441.387815	256.9705227	35.24643958	-682.4456621	176.37821	19.04677303	4420.182095	161.5034115	18.61606352	1195.454947	183.3475256	27.2106688	320.4988012	236.3402093	
23	39.4445434	5082.844566	121.5160889	84.27869913	3617.559561	373.6900814	85.43750926	2951.699451	590.9654597	262.6847349	755.8328972	387.3179596	146.6202182	-1211.463541	223.0489423	56.13396172	-1446.315566	228.6778539	38.12404669	-682.2840973	140.6039471	18.18554737	4408.327666	168.4538016	21.86250865	1177.419169	222.8318939	27.63208925	349.7661673	547.009236	
24	40.28725066	5085.0461	109.7769926	83.02407453	3618.089847	380.2409469	85.55948093	2949.105463	591.7298254	268.1623743	752.4326887	400.3141502	145.4063953	-1214.452754	232.3793998	55.05171803	-1448.702974	217.0911286	36.61759587	-680.9536342	156.9272828	17.71371113	4407.989507	165.5898297	17.29683091	1182.476	228.9160593	27.80068578	328.4047373	280.5438587	
25	40.04593432	5085.954469	119.713457	81.24493468	3617.604449	392.078378	85.88049675	2948.587211	587.3757664	266.6477128	752.4533017	405.4172204	144.8864602	-1211.358762	224.6957262	53.87879873	-1446.983104	235.4969369	39.06007318	-683.68104	149.266995	19.11501227	4411.524409	159.2556983	19.38499961	1193.373612	200.795862	27.61103442	327.1781946	252.4898474	
26	40.20289142	5082.35282	109.2846987	83.4347603	3615.268823	378.5530469	85.904253	2949.57579	587.8158101	267.0140717	751.7460904	405.5038535	143.9197567	-1211.990789	229.8528571	54.75061026	-1446.104505	230.0990492	38.03583944	-685.2134396	146.1201535	19.21092794	4417.866115	152.3794825	19.35983449	1186.451644	204.5723131	28.66908139	321.4162815	255.7753561	
27	39.01682466	5081.740002	122.4712236	83.14521648	3618.77892	381.8091479	86.0419726	2947.086835	588.8096221	266.7001519	752.1657165	408.3502237	145.4678258	-1214.069846	229.7131673	54.92780687	-1454.564038	224.7920464	36.59607138	-683.8067837	165.6345829	18.61860682	4408.377942	153.7009448	19.69739933	1180.996827	185.0490256	25.66514391	325.3864952	280.6633834	
28	38.30241612	5083.487841	122.5811312	82.94034312	3615.76433	373.1474457	85.74064593	2949.555871	591.6692304	266.2327904	751.8180906	410.0250883	143.3772937	-1210.906156	217.9603739	56.17584043	-1443.047863	246.8735731	35.32704788	-684.1648615	181.5814277	18.82935728	4408.6068	183.4721404	19.41636254	1187.371416	193.5495047	28.23631792	323.4253189	222.5369019	
29	40.95547838	5087.712435	112.4678272	83.42773144	3616.562302	381.4791987	85.83142101	2946.768378	589.9249385	267.3714399	751.5456571	401.7737655	145.8784986	-1213.104527	224.2689918	54.67097996	-1444.109105	237.091529	37.94370572	-685.2829525	149.4614736	18.45425696	4414.348934	169.8419999	20.04943465	1179.968845	207.6006554	30.39618429	323.3654752	236.4798692	
30	41.26675916	5085.784751	107.1265089	82.74705173	3617.936495	374.8859568	85.02161273	2952.404229	603.1239079	267.604764	752.4705844	406.7915204	144.5666116	-1211.742509	230.3367606	55.89851547	-1448.931298	223.8063043	39.20314602	-682.5254974	136.1106204	19.86164013	4413.223799	160.6967474	18.73476611	1187.280711	175.9828993	25.71289525	318.0176432	290.9984819	
31	39.6507927	5082.195056	113.5054327	82.23079687	3616.788797	390.0210773	85.67348168	2948.913342	577.4438162	267.0978679	752.6121374	400.9920641	145.3514959	-1210.423102	218.9150757	55.19231952	-1446.218098	238.4337529	36.62033329	-685.8651947	164.1820393	16.90663111	4408.466892	185.1031411	19.725691	1177.734213	202.8557487	27.11931484	326.6312255	307.9826984	
32	39.77062682	5086.720521	107.3127077	83.04000059	3620.151316	373.3691721	85.86425592	2949.287596	595.5400455	267.4448383	752.7248883	403.2708558	146.4332895	-1211.326259	225.8533588	56.25164951	-1449.680812	226.9081925	34.62136575	-683.7047601	166.5640441	17.42880356	4411.760795	192.3237365	19.05711468	1187.813229	195.0751421	28.14322589	331.3206019	264.1489107	
33	39.50116332	5084.238237	114.1021961	83.64740705	3617.249464	372.9905509	85.87885175	2947.28784	598.2867361	266.8325497	753.7462431	399.2388142	143.4919608	-1210.517376	224.6365061	55.48314837	-1443.359093	242.0112735	37.08960523	-682.5790414	157.6582096	18.84722615	4406.709155	161.1072945	20.82274935	1182.509633	187.7852164	27.43837651	324.3727383	334.7770181	
34	42.36627484	5084.385927	104.6083635	82.88341565	3619.117342	373.7065783	85.94769961	2950.526963	597.3054677	265.8024299	753.6260158	389.1209356	144.7372172	-1212.094597	224.9416584	55.92270364	-1445.870352	238.4022071	37.48316066	-683.6957318	148.4057036	16.7765744	4402.041674	187.0733518	21.80013653	1172.251121	226.7145469	26.63205821	329.2193009	403.7229893	
35	39.60047427	5082.449072	114.4166754	83.19210893	3621.248846	366.7683643	85.80706547	2952.532469	595.9424504	266.385726	752.4810377	405.7297956	144.9889857	-1210.507059	216.6407383	56.90494912	-1441.281439	247.0739108	36.73126686	-683.0447796	161.0108207	19.52354339	4407.728727	156.3640443	19.83464802	1187.511081	191.5145034	27.06246207	325.9445663	259.1836464	
36	39.7463565	5085.947402	113.0600449	82.88879444	3617.77769	387.0931956	86.28977864	2949.15805	583.0516916	268.7406014	753.159806	395.0745518	144.0020328	-1209.597686	218.2541375	57.6509951	-1439.524369	243.5766484	36.34156102	-682.999246	168.296802	18.28505313	4417.416785	178.1583865	19.19458	1178.897269	219.7868292	27.72513471	324.660717	304.3203234	
37	38.90767642	5087.566361	115.8362468	82.6523589	3619.974106	391.3399292	86.97696138	2951.17869	574.2487154	266.052725	753.0456072	401.8885437	148.0304436	-1212.849963	222.1896587	55.54555016	-1446.18196	223.4925794	39.15615446	-685.783803	146.3020152	20.48716605	4407.77662	158.4837615	19.79865881	1188.649412	209.0248543	28.35818038	321.7522179	289.821398	
38	41.50526696	5084.532486	111.0235136	82.36662479	3619.922767	381.8273821	85.60335869	2947.862431	592.2593872	267.3999685	751.2962721	409.9204196	145.5474824	-1212.504109	219.9820343	57.46655177	-1445.083026	234.7843553	36.68023989	-685.4529523	164.6997657	19.54361661	4410.517138	158.4360616	19.35207529	1181.684345	176.4521059	29.93485639	323.7804609	207.1665699	
39	39.99432003	5082.712921	112.0028115	83.52845557	3622.438209	374.2757632	86.18078555	2951.257113	598.0523518	266.2315265	752.0738568	407.9886274	146.1430834	-1211.762051	224.061575	57.00550487	-1444.466068	222.9858181	36.21952839	-683.4349533	168.8332849	17.53842395	4413.240287	146.4142684	19.18811079	1175.357808	189.863155	29.00943967	326.9137909	222.7065939	
40	39.31740252	5083.282661	115.9182119	82.72505113	3619.280441	394.2247824	86.39817593	2947.404977	569.3861146	266.7976728	753.3318402	399.9031988	144.9444316	-1212.40235	219.2770805	57.03968939	-1441.424165	235.9214938	35.2077549	-685.2515548	167.6271438	18.27636232	4421.034388	162.5359441	20.99773416	1186.384903	213.8849356	28.20595946	322.5410979	309.4929219	
41	39.56367156	5082.754317	114.3203178	82.42116668	3620.005856	377.8699571	85.89592636	2949.28627	595.735393	267.9976373	752.689691	403.1120995	147.6698304	-1212.727612	219.5219242	56.62956665	-1447.25287	232.6114715	36.34333449	-682.8522439	158.5863756	17.70319967	4411.924044	167.3613478	21.38061119	1183.632018	174.5802001	28.03677957	319.6593447	268.6092717	
42	40.36582727	5083.232579	111.8263193	82.11262591	3620.146168	383.0357925	85.4810504	2951.575197	603.5448092	267.4125936	752.7854802	397.2565506	144.0937321	-1213.086297	230.0469279	54.27919071	-1443.932716	231.5643006	36.03406703	-679.5131273	161.825338	18.05089336	4420.43988	152.6745431	19.00487091	1185.829502	238.892878	26.95482066	326.9055735	307.8429033	
43	40.09815338	5087.6127	110.6294426	82.40306433	3613.976013	400.8222528	85.54648729	2948.216045	577.4116357	267.8188336	752.8448571	397.6198876	146.8955066	-1212.328975	226.5264074	55.4020285	-1449.951308	221.4746096	36.36161136	-679.445778	165.7291707	18.37139324	4403.082271	166.3478513	19.00166594	1187.334558	249.0513018	27.61958254	323.5136402	295.4194329	
44	42.06112823	5087.687679	110.0462871	82.7915691	3617.619404	385.4107679	85.99963893	2947.229731	583.3007063	265.4814135	755.3692277	395.2250134	145.3579181	-1212.571258	230.1496825	54.83986324	-1451.464757	226.1079529	38.3389169	-685.9860207	133.4657174	18.67891877	4412.096596	151.5719397	19.93368429	1193.892982	192.6687763	27.21642626	331.2236991	411.5319606	
45	42.1319089	5083.825887	105.6137981	83.96582844	3617.80405	385.0496822	85.9481674	2946.300969	585.6305253	268.2665128	751.3674293	407.082407	146.605838	-1213.083731	225.0659119	55.46018311	-1447.960359	224.6430844	34.03256398	-684.021771	184.4940382	17.18930079	4420.493403	157.2225286	21.43034969	1189.453463	175.2051557	26.37474312	325.0679794	233.2508395	
46	39.37572218	5086.664895	110.0013768	81.12449309	3619.598178	383.6703802	85.78649476	2948.141281	594.9906546	267.2425196	753.3851564	407.2087476	143.3421268	-1209.349161	221.747891	56.91209141	-1441.272848	246.877768	36.38636311	-682.0755603	159.2675062	19.23317381	4406.902783	155.6741164	19.53010883	1198.526014	180.9047002	28.1288686	327.1625219	250.7129572	
47	40.63097695	5086.605405	111.5199782	81.71597277	3618.335918	386.225001	85.85731087	2949.071338	592.6499241	265.4912859	753.0705108	392.7966742	142.8376758	-1211.007062	224.3079501	55.81964139	-1443.391607	244.1465172	38.77253436	-681.0347713	142.2567461	19.22098745	4414.790235	153.8591509	20.026402	1181.494139	246.3793311	26.74258414	329.7017551	386.1306327	
48	41.08486816	5086.831963	111.0662133	82.26160053	3620.631435	379.4584561	85.53733564	2949.004503	605.7955808	267.9330483	751.8050566	400.2949043	147.7342332	-1211.44606	219.4569301	57.14511074	-1449.371998	229.3465855	39.13581514	-684.9821807	149.0449233	17.58318812	4401.15416	188.7199453	18.25175631	1195.156435	215.9022534	27.40123042	323.2506697	282.7614741	
